index,id,name,size,seconds_since_birth,signal_mean,signal_std,simulation_frames,simulation_seconds,simulation_hours,simulation_days
0,0,1a,1,0,0.0,0.0,0,0,0.0,0.0
1,1,1b,1,0,0.0,0.0,0,0,0.0,0.0
2,2,1c,1,0,0.0,0.0,0,0,0.0,0.0
3,3,1d,1,0,0.0,0.0,0,0,0.0,0.0
4,4,1e,1,0,0.0,0.0,0,0,0.0,0.0
5,5,1f,1,0,0.0,0.0,0,0,0.0,0.0
6,6,1g,1,0,0.0,0.0,0,0,0.0,0.0
7,7,1h,1,0,0.0,0.0,0,0,0.0,0.0
8,8,1i,1,0,0.0,0.0,0,0,0.0,0.0
9,9,1j,1,0,0.0,0.0,0,0,0.0,0.0
10,10,1k,1,0,0.0,0.0,0,0,0.0,0.0
11,11,1l,1,0,0.0,0.0,0,0,0.0,0.0
12,12,1m,1,0,0.0,0.0,0,0,0.0,0.0
13,13,1n,1,0,0.0,0.0,0,0,0.0,0.0
14,14,1o,1,0,0.0,0.0,0,0,0.0,0.0
15,15,1p,1,0,0.0,0.0,0,0,0.0,0.0
16,16,1q,1,0,0.0,0.0,0,0,0.0,0.0
17,17,1r,1,0,0.0,0.0,0,0,0.0,0.0
18,18,1s,1,0,0.0,0.0,0,0,0.0,0.0
19,19,1t,1,0,0.0,0.0,0,0,0.0,0.0
20,20,1u,1,0,0.0,0.0,0,0,0.0,0.0
21,21,1v,1,0,0.0,0.0,0,0,0.0,0.0
22,22,1w,1,0,0.0,0.0,0,0,0.0,0.0
23,23,1x,1,0,0.0,0.0,0,0,0.0,0.0
24,24,1y,1,0,0.0,0.0,0,0,0.0,0.0
25,25,1z,1,0,0.0,0.0,0,0,0.0,0.0
26,26,1aa,1,0,0.0,0.0,0,0,0.0,0.0
27,27,1ab,1,0,0.0,0.0,0,0,0.0,0.0
28,28,1ac,1,0,0.0,0.0,0,0,0.0,0.0
29,29,1ad,1,0,0.0,0.0,0,0,0.0,0.0
30,30,1ae,1,0,0.0,0.0,0,0,0.0,0.0
31,31,1af,1,0,0.0,0.0,0,0,0.0,0.0
32,32,1ag,1,0,0.0,0.0,0,0,0.0,0.0
33,33,1ah,1,0,0.0,0.0,0,0,0.0,0.0
34,34,1ai,1,0,0.0,0.0,0,0,0.0,0.0
35,35,1aj,1,0,0.0,0.0,0,0,0.0,0.0
36,36,1ak,1,0,0.0,0.0,0,0,0.0,0.0
37,37,1al,1,0,0.0,0.0,0,0,0.0,0.0
38,38,1am,1,0,0.0,0.0,0,0,0.0,0.0
39,39,1an,1,0,0.0,0.0,0,0,0.0,0.0
40,40,1ao,1,0,0.0,0.0,0,0,0.0,0.0
41,41,1ap,1,0,0.0,0.0,0,0,0.0,0.0
42,42,1aq,1,0,0.0,0.0,0,0,0.0,0.0
43,43,1ar,1,0,0.0,0.0,0,0,0.0,0.0
44,44,1as,1,0,0.0,0.0,0,0,0.0,0.0
45,45,1at,1,0,0.0,0.0,0,0,0.0,0.0
46,46,1au,1,0,0.0,0.0,0,0,0.0,0.0
47,47,1av,1,0,0.0,0.0,0,0,0.0,0.0
48,48,1aw,1,0,0.0,0.0,0,0,0.0,0.0
49,49,1ax,1,0,0.0,0.0,0,0,0.0,0.0
50,50,1ay,1,0,0.0,0.0,0,0,0.0,0.0
51,51,1az,1,0,0.0,0.0,0,0,0.0,0.0
52,52,1ba,1,0,0.0,0.0,0,0,0.0,0.0
53,53,1bb,1,0,0.0,0.0,0,0,0.0,0.0
54,54,1bc,1,0,0.0,0.0,0,0,0.0,0.0
55,55,1bd,1,0,0.0,0.0,0,0,0.0,0.0
56,56,1be,1,0,0.0,0.0,0,0,0.0,0.0
57,57,1bf,1,0,0.0,0.0,0,0,0.0,0.0
58,58,1bg,1,0,0.0,0.0,0,0,0.0,0.0
59,59,1bh,1,0,0.0,0.0,0,0,0.0,0.0
60,60,1bi,1,0,0.0,0.0,0,0,0.0,0.0
61,61,1bj,1,0,0.0,0.0,0,0,0.0,0.0
62,62,1bk,1,0,0.0,0.0,0,0,0.0,0.0
63,63,1bl,1,0,0.0,0.0,0,0,0.0,0.0
64,64,1bm,1,0,0.0,0.0,0,0,0.0,0.0
65,65,1bn,1,0,0.0,0.0,0,0,0.0,0.0
66,66,1bo,1,0,0.0,0.0,0,0,0.0,0.0
67,67,1bp,1,0,0.0,0.0,0,0,0.0,0.0
68,68,1bq,1,0,0.0,0.0,0,0,0.0,0.0
69,69,1br,1,0,0.0,0.0,0,0,0.0,0.0
70,70,1bs,1,0,0.0,0.0,0,0,0.0,0.0
71,71,1bt,1,0,0.0,0.0,0,0,0.0,0.0
72,72,1bu,1,0,0.0,0.0,0,0,0.0,0.0
