,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
0,1a-1.1,division,28.0,1a-1.2,division,20.0,True,8.0,0.0,Control
1,1a-1.1.1,division,21.0,1a-1.1.2,division,22.0,True,1.0,0.0,Control
2,1a-1.1.1.1,division,21.0,1a-1.1.1.2,division,31.0,True,10.0,0.0,Control
3,1a-1.1.1.1.1,division,33.0,1a-1.1.1.1.2,division,22.0,True,11.0,0.0,Control
4,1a-1.1.1.1.1.1,migration,9.0,1a-1.1.1.1.1.2,migration,9.0,True,0.0,0.0,Control
5,1a-1.1.1.1.2.1,division,20.0,1a-1.1.1.1.2.2,migration,20.0,False,0.0,0.0,Control
6,1a-1.1.1.2.1,division,27.0,1a-1.1.1.2.2,division,27.0,True,0.0,0.0,Control
7,1a-1.1.1.2.1.1,migration,5.0,1a-1.1.1.2.1.2,migration,5.0,True,0.0,0.0,Control
8,1a-1.1.1.2.2.1,migration,5.0,1a-1.1.1.2.2.2,migration,5.0,True,0.0,0.0,Control
9,1a-1.1.2.1,division,29.0,1a-1.1.2.2,division,29.0,True,0.0,0.0,Control
10,1a-1.1.2.1.1,division,32.0,1a-1.1.2.1.2,division,29.0,True,3.0,0.0,Control
11,1a-1.1.2.1.1.1,migration,1.0,1a-1.1.2.1.1.2,migration,1.0,True,0.0,0.0,Control
12,1a-1.1.2.1.2.1,migration,4.0,1a-1.1.2.1.2.2,migration,4.0,True,0.0,0.0,Control
13,1a-1.1.2.2.1,division,24.0,1a-1.1.2.2.2,division,22.0,True,2.0,0.0,Control
14,1a-1.1.2.2.1.1,migration,9.0,1a-1.1.2.2.1.2,migration,9.0,True,0.0,0.0,Control
15,1a-1.1.2.2.2.1,migration,11.0,1a-1.1.2.2.2.2,migration,11.0,True,0.0,0.0,Control
16,1a-1.2.1,division,30.0,1a-1.2.2,division,28.0,True,2.0,0.0,Control
17,1a-1.2.1.1,division,14.0,1a-1.2.1.2,division,24.0,True,10.0,0.0,Control
18,1a-1.2.1.1.1,division,28.0,1a-1.2.1.1.2,division,21.0,True,7.0,0.0,Control
19,1a-1.2.1.1.1.1,migration,20.0,1a-1.2.1.1.1.2,migration,20.0,True,0.0,0.0,Control
20,1a-1.2.1.1.2.1,migration,27.0,1a-1.2.1.1.2.2,division,20.0,False,7.0,0.0,Control
21,1a-1.2.1.1.2.2.1,migration,6.0,1a-1.2.1.1.2.2.2,migration,6.0,True,0.0,0.0,Control
22,1a-1.2.1.2.1,division,29.0,1a-1.2.1.2.2,division,27.0,True,2.0,0.0,Control
23,1a-1.2.1.2.1.1,migration,9.0,1a-1.2.1.2.1.2,migration,9.0,True,0.0,0.0,Control
24,1a-1.2.1.2.2.1,migration,11.0,1a-1.2.1.2.2.2,migration,11.0,True,0.0,0.0,Control
25,1a-1.2.2.1,division,22.0,1a-1.2.2.2,division,17.0,True,5.0,0.0,Control
26,1a-1.2.2.1.1,division,22.0,1a-1.2.2.1.2,division,29.0,True,7.0,0.0,Control
27,1a-1.2.2.1.1.1,migration,20.0,1a-1.2.2.1.1.2,division,20.0,False,0.0,0.0,Control
28,1a-1.2.2.1.2.1,migration,13.0,1a-1.2.2.1.2.2,migration,13.0,True,0.0,0.0,Control
29,1a-1.2.2.2.1,division,24.0,1a-1.2.2.2.2,division,16.0,True,8.0,0.0,Control
30,1a-1.2.2.2.1.1,division,23.0,1a-1.2.2.2.1.2,migration,23.0,False,0.0,0.0,Control
31,1a-1.2.2.2.2.1,division,22.0,1a-1.2.2.2.2.2,division,23.0,True,1.0,0.0,Control
32,1a-1.2.2.2.2.1.1,migration,8.0,1a-1.2.2.2.2.1.2,migration,8.0,True,0.0,0.0,Control
33,1a-1.2.2.2.2.2.1,migration,7.0,1a-1.2.2.2.2.2.2,migration,7.0,True,0.0,0.0,Control
34,1aa-1.1,division,27.0,1aa-1.2,division,28.0,True,1.0,0.0,Control
35,1aa-1.1.1,division,19.0,1aa-1.1.2,division,19.0,True,0.0,0.0,Control
36,1aa-1.1.1.1,division,22.0,1aa-1.1.1.2,division,31.0,True,9.0,0.0,Control
37,1aa-1.1.1.1.1,division,21.0,1aa-1.1.1.1.2,division,22.0,True,1.0,0.0,Control
38,1aa-1.1.1.1.1.1,division,27.0,1aa-1.1.1.1.1.2,division,25.0,True,2.0,0.0,Control
39,1aa-1.1.1.1.1.1.1,migration,1.0,1aa-1.1.1.1.1.1.2,migration,1.0,True,0.0,0.0,Control
40,1aa-1.1.1.1.1.2.1,migration,3.0,1aa-1.1.1.1.1.2.2,migration,3.0,True,0.0,0.0,Control
41,1aa-1.1.1.1.2.1,division,22.0,1aa-1.1.1.1.2.2,division,22.0,True,0.0,0.0,Control
42,1aa-1.1.1.1.2.1.1,migration,5.0,1aa-1.1.1.1.2.1.2,migration,5.0,True,0.0,0.0,Control
43,1aa-1.1.1.1.2.2.1,migration,5.0,1aa-1.1.1.1.2.2.2,migration,5.0,True,0.0,0.0,Control
44,1aa-1.1.1.2.1,division,31.0,1aa-1.1.1.2.2,division,21.0,True,10.0,0.0,Control
45,1aa-1.1.1.2.1.1,migration,10.0,1aa-1.1.1.2.1.2,migration,10.0,True,0.0,0.0,Control
46,1aa-1.1.1.2.2.1,migration,20.0,1aa-1.1.1.2.2.2,migration,20.0,True,0.0,0.0,Control
47,1aa-1.1.2.1,division,21.0,1aa-1.1.2.2,division,22.0,True,1.0,0.0,Control
48,1aa-1.1.2.1.1,division,24.0,1aa-1.1.2.1.2,division,23.0,True,1.0,0.0,Control
49,1aa-1.1.2.1.1.1,migration,27.0,1aa-1.1.2.1.1.2,division,25.0,False,2.0,0.0,Control
50,1aa-1.1.2.1.1.2.1,migration,1.0,1aa-1.1.2.1.1.2.2,migration,1.0,True,0.0,0.0,Control
51,1aa-1.1.2.1.2.1,division,21.0,1aa-1.1.2.1.2.2,division,20.0,True,1.0,0.0,Control
52,1aa-1.1.2.1.2.1.1,migration,6.0,1aa-1.1.2.1.2.1.2,migration,6.0,True,0.0,0.0,Control
53,1aa-1.1.2.1.2.2.1,migration,7.0,1aa-1.1.2.1.2.2.2,migration,7.0,True,0.0,0.0,Control
54,1aa-1.1.2.2.1,division,37.0,1aa-1.1.2.2.2,division,32.0,True,5.0,0.0,Control
55,1aa-1.1.2.2.1.1,migration,13.0,1aa-1.1.2.2.1.2,migration,13.0,True,0.0,0.0,Control
56,1aa-1.1.2.2.2.1,migration,18.0,1aa-1.1.2.2.2.2,migration,18.0,True,0.0,0.0,Control
57,1aa-1.2.1,division,23.0,1aa-1.2.2,division,25.0,True,2.0,0.0,Control
58,1aa-1.2.1.1,division,24.0,1aa-1.2.1.2,division,24.0,True,0.0,0.0,Control
59,1aa-1.2.1.1.1,division,19.0,1aa-1.2.1.1.2,division,25.0,True,6.0,0.0,Control
60,1aa-1.2.1.1.1.1,division,22.0,1aa-1.2.1.1.1.2,migration,24.0,False,2.0,0.0,Control
61,1aa-1.2.1.1.1.1.1,migration,1.0,1aa-1.2.1.1.1.1.2,migration,1.0,True,0.0,0.0,Control
62,1aa-1.2.1.1.2.1,migration,18.0,1aa-1.2.1.1.2.2,migration,18.0,True,0.0,0.0,Control
63,1aa-1.2.1.2.1,division,28.0,1aa-1.2.1.2.2,division,32.0,True,4.0,0.0,Control
